Category,avg_word_count
BPO,974.2272727272727
INFORMATION-TECHNOLOGY,926.5833333333334
PUBLIC-RELATIONS,889.3153153153153
HEALTHCARE,881.7739130434783
CONSULTANT,879.704347826087
AGRICULTURE,856.2857142857143
HR,853.7272727272727
CONSTRUCTION,852.7142857142857
ADVOCATE,848.5
ENGINEERING,837.5508474576271
FINANCE,813.1452991452992
AUTOMOBILE,808.1944444444445
BANKING,803.4956521739131
ACCOUNTANT,800.0084745762712
CHEF,797.0084745762712
DIGITAL-MEDIA,792.2395833333334
AVIATION,792.1465517241379
BUSINESS-DEVELOPMENT,781.5378151260504
APPAREL,780.6494845360825
ARTS,774.9417475728155
DESIGNER,734.9719626168225
FITNESS,723.034188034188
TEACHER,715.2843137254902
SALES,689.7672413793103
