,precision,recall,f1-score,support
ACCOUNTANT,0.7241379310344828,0.875,0.7924528301886793,24.0
ADVOCATE,0.5,0.5416666666666666,0.52,24.0
AGRICULTURE,0.7777777777777778,0.5384615384615384,0.6363636363636364,13.0
APPAREL,0.4444444444444444,0.42105263157894735,0.43243243243243246,19.0
ARTS,0.5294117647058824,0.42857142857142855,0.47368421052631576,21.0
AVIATION,0.7368421052631579,0.6086956521739131,0.6666666666666666,23.0
BANKING,0.8421052631578947,0.6956521739130435,0.7619047619047619,23.0
BUSINESS,0.660377358490566,0.5,0.5691056910569106,70.0
CHEF,0.7894736842105263,0.625,0.6976744186046512,24.0
CONSTRUCTION,0.85,0.7727272727272727,0.8095238095238095,22.0
DESIGNER,0.7142857142857143,0.7142857142857143,0.7142857142857143,21.0
DIGITAL-MEDIA,0.6,0.631578947368421,0.6153846153846154,19.0
ENGINEERING,0.65625,0.875,0.75,24.0
FINANCE,0.782608695652174,0.782608695652174,0.782608695652174,23.0
FITNESS,0.9444444444444444,0.7083333333333334,0.8095238095238095,24.0
HEALTHCARE,0.5357142857142857,0.6521739130434783,0.5882352941176471,23.0
HR,0.8333333333333334,0.9090909090909091,0.8695652173913043,22.0
INFORMATION-TECHNOLOGY,0.6388888888888888,0.9583333333333334,0.7666666666666667,24.0
PUBLIC-RELATIONS,0.625,0.9090909090909091,0.7407407407407407,22.0
TEACHER,0.6363636363636364,0.7,0.6666666666666666,20.0
accuracy,0.6804123711340206,0.6804123711340206,0.6804123711340206,0.6804123711340206
macro avg,0.6910729663883605,0.6923661559645541,0.6831742938848601,485.0
weighted avg,0.689740454804779,0.6804123711340206,0.6762758478752778,485.0
