actual,predicted,count
AVIATION,ENGINEERING,6
ARTS,TEACHER,6
BUSINESS,DIGITAL-MEDIA,5
BUSINESS,HEALTHCARE,5
BUSINESS,INFORMATION-TECHNOLOGY,5
ADVOCATE,HEALTHCARE,4
APPAREL,ADVOCATE,3
BUSINESS,APPAREL,3
APPAREL,BUSINESS,3
DESIGNER,APPAREL,3
CHEF,BUSINESS,3
FINANCE,ACCOUNTANT,3
HEALTHCARE,ADVOCATE,3
ACCOUNTANT,BUSINESS,2
ADVOCATE,APPAREL,2
AGRICULTURE,CONSTRUCTION,2
ADVOCATE,HR,2
BUSINESS,DESIGNER,2
CHEF,AVIATION,2
BUSINESS,ACCOUNTANT,2
BUSINESS,CHEF,2
DIGITAL-MEDIA,DESIGNER,2
BUSINESS,FINANCE,2
CHEF,PUBLIC-RELATIONS,2
BUSINESS,PUBLIC-RELATIONS,2
FITNESS,TEACHER,2
TEACHER,ARTS,2
TEACHER,PUBLIC-RELATIONS,2
HEALTHCARE,BUSINESS,2
DIGITAL-MEDIA,INFORMATION-TECHNOLOGY,2
AGRICULTURE,ADVOCATE,1
AGRICULTURE,BUSINESS,1
AGRICULTURE,ARTS,1
ACCOUNTANT,ADVOCATE,1
ADVOCATE,PUBLIC-RELATIONS,1
BANKING,ENGINEERING,1
BANKING,DIGITAL-MEDIA,1
BANKING,BUSINESS,1
BANKING,ACCOUNTANT,1
AVIATION,INFORMATION-TECHNOLOGY,1
AVIATION,BUSINESS,1
AVIATION,ADVOCATE,1
ARTS,PUBLIC-RELATIONS,1
ARTS,AVIATION,1
ARTS,INFORMATION-TECHNOLOGY,1
ARTS,HEALTHCARE,1
ARTS,DIGITAL-MEDIA,1
APPAREL,PUBLIC-RELATIONS,1
ARTS,BUSINESS,1
APPAREL,FITNESS,1
APPAREL,HR,1
ADVOCATE,INFORMATION-TECHNOLOGY,1
ADVOCATE,ARTS,1
APPAREL,ENGINEERING,1
APPAREL,DIGITAL-MEDIA,1
AGRICULTURE,PUBLIC-RELATIONS,1
BUSINESS,ADVOCATE,1
CHEF,ARTS,1
BUSINESS,HR,1
BUSINESS,ENGINEERING,1
BUSINESS,AVIATION,1
BUSINESS,BANKING,1
BANKING,FINANCE,1
BANKING,INFORMATION-TECHNOLOGY,1
BUSINESS,AGRICULTURE,1
BUSINESS,ARTS,1
BANKING,HEALTHCARE,1
DESIGNER,HEALTHCARE,1
DESIGNER,AGRICULTURE,1
CONSTRUCTION,INFORMATION-TECHNOLOGY,1
CONSTRUCTION,DESIGNER,1
CONSTRUCTION,APPAREL,1
CONSTRUCTION,BANKING,1
CONSTRUCTION,ACCOUNTANT,1
CHEF,BANKING,1
ENGINEERING,CONSTRUCTION,1
ENGINEERING,DESIGNER,1
FINANCE,ARTS,1
DESIGNER,PUBLIC-RELATIONS,1
DIGITAL-MEDIA,APPAREL,1
DIGITAL-MEDIA,ADVOCATE,1
ENGINEERING,BUSINESS,1
DIGITAL-MEDIA,ACCOUNTANT,1
FITNESS,ENGINEERING,1
FITNESS,CHEF,1
FITNESS,BUSINESS,1
FITNESS,ADVOCATE,1
FINANCE,BUSINESS,1
HEALTHCARE,FINANCE,1
HEALTHCARE,AVIATION,1
FITNESS,HEALTHCARE,1
HR,FINANCE,1
HEALTHCARE,INFORMATION-TECHNOLOGY,1
HR,PUBLIC-RELATIONS,1
INFORMATION-TECHNOLOGY,ADVOCATE,1
PUBLIC-RELATIONS,CHEF,1
PUBLIC-RELATIONS,ARTS,1
TEACHER,BUSINESS,1
TEACHER,ENGINEERING,1
